Trees,Depth,Average Galaxy Purity,Average Galaxy Completeness,Average Star Purity,Average Star Completeness,Average Accuracy,Average Time
10,1,0.872819829,1,1,0,0.872819829,13.03768616
20,1,0.870445152,1,1,0,0.870445152,11.25711723
30,1,0.871288766,1,1,0,0.871288766,9.34989295
40,1,0.871869378,1,1,0,0.871869378,11.42044892
50,1,0.872571841,1,1,0,0.872571841,11.26258421
60,1,0.871575325,1,1,0,0.871575325,9.97428856
70,1,0.870895447,1,1,0,0.870895447,10.56586366
80,1,0.872302683,1,1,0,0.872302683,10.35808358
90,1,0.87284154,1,1,0,0.87284154,11.06076841
100,1,0.868949534,1,1,0,0.868949534,14.09875398
10,2,0.900509379,0.990318528,0.808790639,0.265789685,0.896338958,9.732413197
20,2,0.898011515,0.993236739,0.840135058,0.232593516,0.895737691,12.02491698
30,2,0.898503156,0.99280302,0.840355992,0.246060305,0.896082746,10.98795238
40,2,0.900705417,0.993289534,0.842813202,0.246266296,0.89852244,14.47742224
50,2,0.900048473,0.991752988,0.823209424,0.252627947,0.896807713,14.46578398
60,2,0.89910609,0.993113847,0.837104751,0.235837431,0.896697756,11.03582077
70,2,0.897639151,0.993093419,0.835776806,0.235693991,0.895339621,11.62586179
80,2,0.89918297,0.993228591,0.839573736,0.236086653,0.896870798,12.34249077
90,2,0.899857073,0.992972852,0.840120722,0.249957776,0.897549618,12.66879797
100,2,0.897975936,0.994546635,0.857904405,0.225038394,0.896611369,16.21519198
10,3,0.905639627,0.993202501,0.868622974,0.303857673,0.903954324,10.0172924
20,3,0.905111526,0.99337063,0.867000491,0.291861594,0.90342994,13.0620152
30,3,0.901308035,0.993930456,0.865249648,0.262522618,0.89986539,14.20684819
40,3,0.903922747,0.994707645,0.884674434,0.274677032,0.903098722,12.3679666
50,3,0.904703634,0.994036751,0.878089515,0.291537479,0.903577585,12.92968907
60,3,0.902560262,0.994576981,0.884110809,0.275624138,0.901745691,12.68133912
70,3,0.901900937,0.994900073,0.887458103,0.270589635,0.901320307,13.33851004
80,3,0.90424414,0.993941841,0.871897424,0.281555119,0.902911284,13.82103095
90,3,0.903131857,0.994536719,0.882629296,0.277237517,0.902285154,16.09188867
100,3,0.902259356,0.99490576,0.890931228,0.277570866,0.901781131,18.43158727
10,4,0.922768658,0.992278556,0.895627575,0.442232071,0.920985586,10.77185836
20,4,0.921258849,0.993353276,0.907555702,0.435326259,0.92039779,14.09701261
30,4,0.920044742,0.993944511,0.91093157,0.415855796,0.919416791,15.85853596
40,4,0.922616628,0.993356302,0.90356153,0.427698541,0.921469877,13.56256223
50,4,0.922757491,0.993699315,0.910259449,0.434216754,0.921966538,13.39250627
60,4,0.92273505,0.994083362,0.913123117,0.426658385,0.922142805,15.52370081
70,4,0.922339123,0.993362585,0.906860117,0.434951764,0.921357262,15.30674915
80,4,0.921678564,0.992928574,0.899022093,0.425138492,0.920250875,16.2518508
90,4,0.922006925,0.993331712,0.908123062,0.439151425,0.921115282,21.66815062
100,4,0.918516675,0.993640896,0.906581469,0.411136946,0.917793352,22.51788864
10,5,0.929608294,0.990164127,0.882665734,0.492231034,0.92609737,11.14330583
20,5,0.929263005,0.992862455,0.909214765,0.485870009,0.927884232,15.05137143
30,5,0.926591438,0.992387964,0.900621232,0.466676102,0.924842245,13.88752403
40,5,0.92679659,0.993008556,0.90716972,0.466154744,0.925519435,16.76610918
50,5,0.926816694,0.992673409,0.905997726,0.474051385,0.925404336,16.05352521
60,5,0.92455628,0.993602928,0.913692659,0.453150119,0.923816852,16.79943175
70,5,0.926335511,0.991981858,0.89717754,0.469685603,0.924350013,18.34209743
80,5,0.927473947,0.992344639,0.899724897,0.4697386,0.925625686,19.5820528
90,5,0.925974499,0.99307487,0.909319843,0.467088985,0.924869635,25.61188841
100,5,0.927802983,0.992549777,0.90349709,0.474567535,0.926165338,27.34409576
10,6,0.932392276,0.991474514,0.901486055,0.520871847,0.930072522,13.19888745
20,6,0.932927873,0.99101627,0.898007855,0.522490757,0.930182645,14.38876843
30,6,0.933426172,0.993106504,0.915078697,0.512292556,0.932127945,16.62542429
40,6,0.932584183,0.991719969,0.900229151,0.51014227,0.930235682,18.96264305
50,6,0.93098937,0.993051326,0.915692487,0.505789738,0.929880559,18.19489856
60,6,0.931772685,0.992687469,0.912775133,0.512756701,0.930382781,19.19250641
70,6,0.932162037,0.993188993,0.916580662,0.507700453,0.931040262,21.71142735
80,6,0.93048667,0.992548013,0.910170693,0.5045294,0.929019208,23.66890941
