trees,depth,Galaxy Purity,Galaxy Completeness,Star Purity,Star Completeness,Accuracy
1,1,0.872372929,1,1,0,0.872372929
1,2,0.903210062,0.986540756,0.763848925,0.291910268,0.896298319
1,3,0.924671495,0.983202447,0.803075694,0.460394901,0.915629688
1,4,0.931110095,0.981157601,0.81364101,0.510141465,0.920238385
1,5,0.95172597,0.97823556,0.821605263,0.66627492,0.937812768
1,6,0.949919397,0.984236143,0.862564145,0.655766821,0.941205838
1,7,0.968447607,0.981585769,0.863740049,0.785028708,0.956126266
1,8,0.971175511,0.983056632,0.873963341,0.800801745,0.959775147
1,9,0.976894253,0.983373586,0.883101814,0.843337354,0.965271897
1,10,0.976319107,0.984941003,0.894359051,0.842055248,0.966163923
2,1,0.871411551,1,1,0,0.871411551
2,2,0.903722548,0.982448067,0.710246331,0.28999469,0.893469516
2,3,0.915265034,0.977112452,0.721224903,0.388640334,0.901179129
2,4,0.931379477,0.977452051,0.775858635,0.513490253,0.917566456
2,5,0.937970906,0.969729729,0.745360754,0.570290696,0.917781053
2,6,0.950496751,0.969441674,0.764957481,0.661460554,0.929456479
2,7,0.955091854,0.970674765,0.783969843,0.698378996,0.934889048
2,8,0.961440837,0.973944762,0.806734478,0.735400498,0.943251563
2,9,0.968373005,0.968311598,0.786204277,0.786781783,0.944857162
2,10,0.970182295,0.973801491,0.820504293,0.799701921,0.95116394
3,1,0.871308918,1,1,0,0.871308918
3,2,0.898713501,0.990408705,0.794729825,0.24129206,0.894297639
3,3,0.908973868,0.990068944,0.830901696,0.324506012,0.904836757
3,4,0.92312209,0.990432282,0.872176593,0.439283114,0.91974584
3,5,0.926536111,0.986914891,0.850173264,0.481602599,0.920646446
3,6,0.932523909,0.988588467,0.870152666,0.515315121,0.927720679
3,7,0.941588002,0.98970723,0.891585363,0.57895321,0.937425072
3,8,0.948213614,0.989415919,0.900693539,0.638415628,0.943739759
3,9,0.95471301,0.988597537,0.90024791,0.686081119,0.94924735
3,10,0.960542878,0.987559498,0.897500009,0.728554579,0.953882357
4,1,0.871982685,1,1,0,0.871982685
4,2,0.898868089,0.988292512,0.771350275,0.258148958,0.893069371
4,3,0.905377041,0.991506735,0.839619209,0.298135893,0.902235644
4,4,0.926999419,0.989087193,0.860134655,0.463881284,0.922448305
4,5,0.933719221,0.986005063,0.843786995,0.52066609,0.926698245
4,6,0.940624588,0.985716923,0.855952678,0.576950349,0.933285782
4,7,0.950241398,0.984789078,0.864808918,0.649424602,0.941770448
4,8,0.958812055,0.984238487,0.869866661,0.711466541,0.949359547
4,9,0.965045472,0.983932886,0.876343535,0.760833704,0.95499372
4,10,0.971259739,0.981895794,0.868082882,0.803464404,0.958914509
5,1,0.871415311,1,1,0,0.871415311
5,2,0.899934277,0.989244268,0.790674948,0.260715573,0.894829512
5,3,0.90434464,0.995268117,0.897390183,0.285735641,0.904109589
5,4,0.917723229,0.993098785,0.89469649,0.396753991,0.916391899
5,5,0.925583967,0.989690005,0.871176657,0.463065139,0.921692249
5,6,0.933088853,0.990530188,0.889829301,0.517654927,0.929829846
5,7,0.937965737,0.991001823,0.902248334,0.556439363,0.935047531
5,8,0.943953117,0.991174399,0.909116401,0.600096155,0.940981525
5,9,0.954776927,0.991634295,0.923313232,0.68122164,0.951771536
5,10,0.966970983,0.989754516,0.915856918,0.767512223,0.96153846
6,1,0.872387036,1,1,0,0.872387036
6,2,0.90193611,0.987508559,0.766002927,0.274144148,0.895592512
6,3,0.908989196,0.9891369,0.830130644,0.331288196,0.903999913
6,4,0.91979025,0.990547527,0.867306397,0.415855053,0.916477331
6,5,0.932420143,0.98468378,0.840033009,0.517981351,0.924398898
6,6,0.940784865,0.987196292,0.871406274,0.578625682,0.934679748
6,7,0.946554034,0.988528324,0.89091402,0.624248875,0.941418776
6,8,0.957181547,0.988071418,0.897334511,0.702101826,0.951124633
6,9,0.964190493,0.987148213,0.895749844,0.750627938,0.956824422
6,10,0.97113917,0.986877879,0.899720127,0.800505193,0.962990709
7,1,0.871795564,1,1,0,0.871795564
7,2,0.897639883,0.989368367,0.789637598,0.24663303,0.892561687
7,3,0.905370619,0.993965225,0.875145922,0.287227491,0.903986638
7,4,0.917395979,0.992248327,0.883403253,0.385733221,0.91512735
7,5,0.92784039,0.990931169,0.886928763,0.477202509,0.92492773
7,6,0.931320237,0.992813342,0.91294722,0.505775942,0.929955618
7,7,0.942639681,0.991342277,0.910768216,0.593515162,0.939939598
7,8,0.949054613,0.991487777,0.916147076,0.636129519,0.946139779
7,9,0.953202323,0.991754988,0.924597897,0.675334388,0.950480213
7,10,0.966579688,0.989573821,0.916747624,0.77039107,0.961132907
8,1,0.869510305,1,1,0,0.869510305
8,2,0.900039313,0.989840328,0.79000668,0.249698645,0.895223503
8,3,0.9010552,0.993597855,0.867088781,0.27395145,0.899558827
8,4,0.920968587,0.992150082,0.888810274,0.423056447,0.918950455
8,5,0.929900305,0.98961925,0.876264267,0.495310854,0.92591451
8,6,0.935104585,0.989682478,0.885051443,0.535568573,0.931166051
8,7,0.946993861,0.9900653,0.90121385,0.620883023,0.942976382
8,8,0.953848935,0.988701545,0.899190077,0.678527942,0.948511797
8,9,0.958217387,0.990385129,0.917616675,0.713042585,0.954105636
8,10,0.96425745,0.989558369,0.913656835,0.750269189,0.958911793
9,1,0.873426232,1,1,0,0.873426232
9,2,0.899441182,0.990548575,0.806697549,0.255039891,0.895337668
9,3,0.902219729,0.995233552,0.886736984,0.257012545,0.901625339
9,4,0.921832393,0.993205269,0.905035432,0.434400717,0.920780971
9,5,0.927807426,0.991696218,0.89454158,0.47600598,0.925497814
9,6,0.935202447,0.99160194,0.903446398,0.533493465,0.9327941
9,7,0.938553044,0.992085131,0.911500944,0.556486667,0.936436606
9,8,0.947623367,0.991645727,0.918972479,0.633308607,0.94502638
9,9,0.954556841,0.991890975,0.924930683,0.679422401,0.95177433
9,10,0.963323445,0.99068287,0.920090351,0.739892428,0.958919821
10,1,0.870247424,1,1,0,0.870247424
10,2,0.898322673,0.989608191,0.782769109,0.243792159,0.893324686
10,3,0.909578048,0.991096238,0.847960717,0.332950969,0.906312403
10,4,0.921219325,0.991388943,0.88253781,0.429707139,0.918613798
10,5,0.927156511,0.993091268,0.907980597,0.465982971,0.925893606
10,6,0.932789685,0.992128027,0.907086865,0.516846206,0.930849237
10,7,0.943555415,0.991252849,0.909168958,0.596226907,0.94066655
10,8,0.951759035,0.991538156,0.920567182,0.660849553,0.948829937
10,9,0.96041154,0.990102826,0.915341579,0.723655095,0.955812977
10,10,0.96838186,0.989303814,0.916116087,0.783204273,0.962573951
